"Notes"
"Attended meetings with Thom and denounced her."
NULL
"Led Thom and others in dance at fish cross and denounced her."
"Attended meetings with Thom and denounced her,"
"Michell appears to have denounced Barroun and confronted her during the investigation."
"Michell claimed that Innes had inducted her into the devil's service."
"Michell claimed she was at the same meetings."
"Michell claimed Wischert helped her murder her son."
"Michell denouned Thom."
"Michell denouned Barroun"
NULL
NULL
"Culsetter named Paplay as a witch"
"Bowndie named Paplay as a witch"
"Bowndie denounced Paplay and others"
"Bowndie denounced a group of women"
"Bowndie denounced a group"
"Baikie was denounced with a group of other women"
"Bowndie denounced a group of other women"
"Denounced Peebles"
"Watsonne claimed that Graham attended meetings with the 'fair folks'"
"Alexander was denounced by Robertson and 2 others."
"Alexander was denounced by Bell and 2 others."
"Cant and 2 others denounced Alexander."
"Alexander was denounced by Robertsone"
"Cant denounced Alexander"
"Bell denounced Alexander."
"Boswell named Potter"
"Boswell named Lodge and Lodge named Boswell"
"Lodge named Symsone"
"Lodge named Burt"
"Lodge named Potter"
"Lodge named Boswell and Boswell named Lodge"
NULL
"Tailzour identified Mathie as a witch."
"Tailzour named Keir as a witch and cause of sicknesses and harm that she had cured."
"Duchill named Talzeor and they were part of a bigger group."
"Duchill named Talzoer as an accomplice."
"Talzeor denounced Paton as an accomplice but Paton denied all the charges."
"Remy claimed that Paton was present at meetings."
"Remy denounced Black as an accomplice"
"Duchill was named as an accomplice by Remy."
"Talzeor named Black as an accomplice"
"Talzeor named Erskyne as an accomplice"
"Crockett was named as an accomplice"
"Remy named as an accomplice"
"Paton named as an accomplice"
"Paton claimed she consulted Drummond who was noted as having been burnt for a witch"
"Talzeor named Kay as another accomplice"
"Talzeor said he played the whistle at meetings"
"denounced by Duchill"
"named by Duchill as the leader"
"named by Duchill"
"named by Duchill"
"named by Duchill"
"named as an accomplice"
"named by Talzeor."
"named by Black"
"named by Black"
"named byBlack"
"named by Black"
"Gerard and Reid seemed to have worked together."
"Gerard and Reid worked together"
"named as a witch who was burnt."
"named as Gerard's mother who taught her witchcraft."
"named as an accomplice"
NULL
NULL
NULL
"named as Margrat's sister and that she was to be tried."
"appeared to have been an accomplice"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"named as an accomplice by Bell"
"named by Bell as an accomplice"
"denounced as a witch by Bell"
"named as a witch by Bell"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"her mother took her to the meetings"
NULL
NULL
NULL
NULL
NULL
"Bane appears to have named Arcly, but charges against Arcly were dropped."
NULL
NULL
NULL
NULL
"Tod was denounced by Fairlie."
"denounced by Fairlie"
"denounced by Fairlie"
"denounced by Fairlie"
"denounced by Fairlie"
"denounced by Fairlie"
"Fairlie denounced her"
"denounced by Fairlie"
"named by Fairlie"
"denounced by Fairlie"
"Hill was slandered because she was associated with the deceased Lawson (Lasson)."
"Fergussone appears to have named Chartes as a witch"
"named by McMillan"
"named by McMillan"
"named by McMillan"
"named by McMillan"
"McMillan named Litle"
"McMillan named Fargrieve"
"McMillan named Wilson"
"McMillan named Watt"
"Was named as a witch by Thomsone."
"Thomsone denounced Mitchells as a witch"
"Young named Small"
"Young named Stith."
"Witnesses claimed they had seen Small and Stith together"
"named by Small as a witch"
"named by Small"
"named by Small"
"named by Small"
"named by Small."
"Cornfoot denounced Horseburgh"
NULL
"Cornfoot denounced Wallace"
NULL
NULL
NULL
NULL
NULL
NULL
"Boyd claimed that Sempill had taught her but then she denied her deposition."
"Boyd claimed Sempill had taught her charming then denied her deposition"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Smith was denounces by McReadie"
NULL
NULL
"in a PC commission of investigation"
"in a PC commission of investigation"
"in the same commission"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"He recanted his accusation against her"
NULL
NULL
NULL
NULL
NULL
"she was denounced by him"
"she was denounced by her"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"J Cock was in her house."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"She was accused of having actually done the deed of killing Thomesone's husband."
"She was accused of having killed Thomesone's husband."
"Gray denounced her"
"Gray denounced her"
"Gray denounced him"
"Gray denounced her"
NULL
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Gray denounced her"
"Mawsie denounced Maxwell"
NULL
NULL
NULL
NULL
NULL
NULL
"she was already dead, described as having been previously executed for witchcraft."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"denounced by her"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"mentioned as a healer"
"mentioned as a healer"
"mentioned as a healer"
NULL
NULL
NULL
NULL
NULL
NULL
"They were tried at the same session of the Circuit court, but not together."
"Agnes was seen with Jonet and this was damning evidence.  She delated Agnes"
NULL
NULL
NULL
NULL
"Her trial could have been in 1669."
NULL
"Her trial was most definitely in 1669."
"She was mentioned as having taught the community something that Thomseone did as well."
"She delated McGown"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Dead when she was accused."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Lady Pittadrow"
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Grieve said that Marion was an office at a Witches' meeting."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"mentioned as having been burnt 20 years earlier."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"Duchill denounced Paton"
"Remy denounced Paton"
"Black denounced Paton"
NULL
NULL
NULL
NULL
NULL
"Jonnet said that Alleson brought her to the Devil."
"Lacost lead the ring."
"Brought her to the Devil."
"Denounced Helen tait"
NULL
NULL
NULL
NULL
NULL
"She was denounced by Miller"
"Hannay denounced Moorheid in 1630."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"she was questioned extensively about him."
"he was questioned harshly about Bothwell."
NULL
NULL
NULL
NULL
NULL
"repeated questioned about her."
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
NULL
"She taught the neighbourhood how to defend themselves against witches by taking the suspects thatch."
